# 3D point list with one line of data per point
#  POINT_ID, X, Y, Z, R, G, B, ERROR
422 14.981769 2.376242 -3.426422 157 151 145 0
423 15.044950 2.379614 -3.402411 153 147 137 0
424 15.100570 2.400848 -3.420773 149 141 136 0
425 14.468775 2.693089 -3.435450 153 141 134 0
426 13.488007 2.837019 -3.421948 170 172 172 0
427 20.361090 3.085144 -3.447510 70 98 45 0
428 20.496687 3.111130 -3.398789 68 88 48 0
429 20.600254 3.121582 -3.371638 66 82 46 0
430 20.518482 3.233937 -3.411636 63 83 45 0
431 20.615255 3.222154 -3.367435 63 79 42 0
432 20.725201 3.256651 -3.338176 60 75 39 0
433 11.759023 3.404572 -3.303450 149 141 134 0
434 12.955745 3.421952 -3.325141 157 149 150 0
435 13.068953 3.404472 -3.399801 140 130 114 0
436 14.375958 3.389644 -3.390074 149 149 143 0
437 20.528120 3.328640 -3.427776 65 83 47 0
438 20.636133 3.374420 -3.400635 64 78 42 0
439 20.764069 3.387681 -3.353647 59 74 39 0
440 20.879028 3.371907 -3.358871 60 76 39 0
441 13.140070 3.498966 -3.414525 157 144 141 0
442 20.645081 3.468764 -3.429606 54 68 35 0
443 20.787262 3.512267 -3.362472 58 70 36 0
444 20.891705 3.544270 -3.369345 61 74 41 0
445 13.427537 3.654446 -3.430338 150 139 132 0
446 20.694530 3.615953 -3.333612 61 77 41 0
447 20.815821 3.652238 -3.344799 67 83 48 0
448 20.917004 3.674862 -3.387189 65 82 47 0
449 21.031754 3.730214 -3.428604 67 86 48 0
450 12.390576 3.895478 -3.329500 161 155 155 0
451 20.943497 3.809620 -3.351404 63 82 46 0
452 21.042400 3.847249 -3.396582 65 84 49 0
453 21.151447 3.835935 -3.330962 85 92 61 0
454 12.540875 3.950816 -3.347125 163 156 151 0
455 20.761986 3.912108 -3.300419 61 79 43 0
456 20.942272 3.929901 -3.327042 62 80 45 0
457 21.064087 3.936157 -3.372942 65 83 47 0
458 21.208324 3.981518 -3.402296 66 82 48 0
459 21.360992 4.033689 -3.418189 61 79 46 0
460 15.054253 4.059146 -3.322119 142 137 128 0
461 21.400372 4.073721 -3.380050 60 76 43 0
462 21.504953 4.110785 -3.372303 53 68 36 0
463 14.008664 4.448068 -3.331221 162 152 146 0
464 21.686455 4.460705 -3.437338 60 75 40 0
465 21.764334 4.447947 -3.436285 58 76 40 0
466 21.837151 4.564118 -3.360100 71 84 48 0
467 21.978260 4.581851 -3.399175 72 86 50 0
468 22.059589 4.595539 -3.425863 76 87 50 0
469 14.390364 4.857151 -3.305689 144 140 138 0
470 14.451132 4.863359 -3.351657 149 142 129 0
471 14.313134 5.087576 -3.324299 159 154 148 0
472 14.236506 5.440298 -3.312680 154 149 141 0
473 14.329455 5.488196 -3.331529 164 154 150 0
474 14.401918 5.501853 -3.347358 152 146 143 0
475 23.809677 5.642115 -3.361193 80 90 57 0
476 23.927349 5.663429 -3.340461 82 92 55 0
477 12.513157 5.793034 -3.328263 139 136 139 0
